Alimento,Costo,Calorias,Proteina,Fibra,Carbohidratos,Vitamina_A,Vitamina_C,Vitamina_D,Vitamina_K
Alimento_1,1.94,240,25.8,8.9,18.3,1196.1,43.1,3.19,123.2
Alimento_2,4.76,302,13.2,10.2,53.9,987.7,24.9,20.65,37.6
Alimento_3,3.69,465,22.7,11.8,1.8,1275.9,61.7,19.55,71.1
Alimento_4,3.03,210,22.8,7.5,6,1300.9,70.7,17.72,156.8
Alimento_5,0.86,305,3.5,1.3,13.3,1062.5,16.7,0.9,110.8
Alimento_6,0.86,372,27.1,8.1,2.6,1255.5,16.8,7.58,1
Alimento_7,0.38,177,15.4,8.8,11.7,1046.2,3.7,6.58,152.2
Alimento_8,4.34,67,24.9,11.2,35.4,1020.2,73.6,9,7.1
Alimento_9,3.05,330,9.9,6.5,25.9,927.9,66.4,2.19,149.1
Alimento_10,3.57,272,26.9,1.9,53.7,1129.1,47.5,23.42,40.5
Alimento_11,0.2,103,12,4.3,49.2,237.9,84.4,13.85,191.6
Alimento_12,4.85,107,0.8,5.4,21.2,1321.3,80.6,7.64,73.6
Alimento_13,4.18,372,27.2,9.7,16.3,1307.8,58.5,9.92,65.4
Alimento_14,1.14,409,3.2,8.6,23.4,43.9,86.8,11.18,29.8
Alimento_15,0.99,223,9.9,5.3,35.8,1238.7,20.6,15.01,61.1
Alimento_16,1,329,28.5,14.8,16.8,193.3,11.2,12.89,175.3
Alimento_17,1.59,163,28.5,9.1,37.8,502.7,27,22.98,199.3
Alimento_18,2.67,337,17.4,3.6,25.2,1115.3,5.7,12.42,73.7
Alimento_19,2.22,480,19.1,1.5,33.6,241.1,53.1,24.8,89.7
Alimento_20,1.53,391,13.7,2.3,26.7,1227,93.7,21.29,144.4
Alimento_21,3.1,200,9.1,3.7,18.4,1248.2,3.9,5.21,177.2
Alimento_22,0.78,499,10.2,2.4,57,761.2,12.2,23.26,118.6
Alimento_23,1.53,176,20.3,2.8,46.1,9.6,45.2,2.91,78.3
Alimento_24,1.9,204,22.7,4.3,9.3,430.6,93.4,20.44,82.5
Alimento_25,2.33,435,23.9,2.6,52.2,925.4,31.6,9.52,139.1
Alimento_26,3.95,322,23.8,13.5,29.8,1471.8,50.7,21.95,0.6
Alimento_27,1.08,153,3.2,1.2,53.8,947.7,4.2,21.7,123.9
Alimento_28,2.62,466,15.1,7.9,48.2,389.7,14.8,20.15,71.1
Alimento_29,3,442,2.2,6.2,26.1,951,98.7,19.75,158.8
Alimento_30,0.33,348,16.7,14.7,2.3,810,96.5,7.62,18.6
Alimento_31,3.08,295,13.5,1.7,16.9,1169.8,0.5,2.02,117.6
Alimento_32,0.94,225,26.7,6,33,160.5,95.2,10.07,96.2
Alimento_33,0.42,88,10.9,14.5,38.4,1141.5,63.9,4.34,128.5
Alimento_34,4.75,219,4,13,16.2,811.9,86.8,17.37,13
Alimento_35,4.83,296,4.7,12.3,9.2,1444.5,45.5,8.65,116
Alimento_36,4.06,75,23,3.9,50.3,512.8,51.6,24.39,112.3
Alimento_37,1.59,404,18.7,2.6,59.1,948.9,48.9,16.02,112.1
Alimento_38,0.58,355,3.5,10,32,1398,66.7,20.56,120.7
Alimento_39,3.45,458,3,13.9,11.1,153.8,14,3.31,135.3
Alimento_40,2.26,457,21.2,8.4,17.1,1405.8,3,21.55,161
Alimento_41,0.7,62,2.6,8.6,2.1,1031.8,30.8,23.07,54
Alimento_42,2.53,365,24.7,4.2,54.9,101.8,70.5,12.18,165
Alimento_43,0.27,440,21.3,11.5,7.9,451.4,20.2,15.16,99.7
Alimento_44,4.56,362,2.9,2.8,35,1062.3,67.3,19.12,15.4
Alimento_45,1.37,85,3,4.9,17.2,101,97,4.37,11.7
Alimento_46,3.35,222,29.6,6.4,33.7,873.3,9.4,12.56,66.8
Alimento_47,1.63,69,11.5,7.6,39.4,518.8,67.3,9.97,157
Alimento_48,2.65,370,11.4,3.6,50,931.4,44.4,3.66,141.5
Alimento_49,2.78,313,24.5,1.7,13.2,68.6,86.8,9.19,157.7
Alimento_50,1.01,449,28.4,9.2,1.6,1307.3,17.7,1.7,103.5
Alimento_51,4.85,191,29.6,4.3,9.1,1460.2,69.3,0.65,88
Alimento_52,3.9,420,22.7,8.7,54.1,1453.3,83.8,3.38,29.5
Alimento_53,4.7,192,11.6,2.3,52.6,1124.5,94.5,24.08,65.6
Alimento_54,4.48,141,3,7.2,36.2,195.1,68.3,13.74,86.8
Alimento_55,3.03,403,23.4,8,36.4,1137.4,49.7,24.15,17.7
Alimento_56,4.62,371,17,0.8,40.2,36.9,61.8,10.81,44.1
Alimento_57,0.53,337,13,5,11.3,33.2,86.9,7.8,119.6
Alimento_58,1.06,264,27.2,2,55,485.4,57.1,12.65,147.1
Alimento_59,0.32,496,3.8,1,25.7,733,3,10.99,199.7
Alimento_60,1.69,391,15,14.8,23.6,1155.6,93.1,2.64,186.6
Alimento_61,2,100,0.8,4.8,31.6,1024.9,69,16.02,128.5
Alimento_62,1.43,202,14.3,12.1,3.8,668.9,67.7,5.4,84.2
Alimento_63,4.16,235,2.2,3.8,10.8,410.4,21.6,15.49,127.2
Alimento_64,1.85,112,4,10.2,44.5,1495.7,65.9,16.26,157.1
Alimento_65,1.48,239,4,11.4,5.9,639.3,39.4,3.8,23.7
Alimento_66,2.76,174,19.7,8.9,36.6,677.1,65.1,1.53,82
Alimento_67,0.79,199,22.5,7.1,15.5,245.4,10.7,19.52,168
Alimento_68,4.03,363,17.7,6.2,24,1192.2,65.8,11.5,76.8
Alimento_69,0.47,107,28.9,5.2,18,1040.5,99.9,1.45,114.4
Alimento_70,4.94,391,11.6,13.9,22,331.2,4.8,24.87,117.6
Alimento_71,3.88,354,8.9,12.5,43.4,123.6,97.7,1.44,36.9
Alimento_72,1.07,229,26.1,14.5,18.5,1020.7,40.7,17.38,72.4
Alimento_73,0.13,219,7.1,1.9,34.4,981.8,87.1,24.59,66.9
Alimento_74,4.1,375,28.9,11,29.1,409.9,78.2,5.98,5.2
Alimento_75,3.56,320,0.9,14.1,40.2,1426.3,56.7,3.56,4.8
Alimento_76,3.67,103,29.1,2.7,56.3,226.6,73.8,3.03,166.3
Alimento_77,3.88,493,1.8,1,44.2,648.5,87.9,7.58,54.6
Alimento_78,0.46,150,26.8,11.1,13.7,1415.4,40.4,2.53,103.6
Alimento_79,1.86,313,16.1,8.6,2.8,629.6,32.7,17.3,59.7
Alimento_80,0.67,102,29.8,12.6,16.5,957.8,66.8,1.56,188.1
Alimento_81,4.33,109,2.7,2.1,36.1,596.4,80.8,12.74,51.9
Alimento_82,3.15,157,16.8,11.9,4,411.3,76.2,24.92,85.9
Alimento_83,1.72,54,29.1,3,30.3,1476,79.8,20.35,174.5
Alimento_84,0.41,152,15.9,2.5,36.2,614,43.6,15.38,168.4
Alimento_85,1.62,245,19.1,2.5,20.7,1341.1,81.8,7.66,37.2
Alimento_86,1.69,311,21,12.2,46.5,344.9,12,15.6,160.5
Alimento_87,3.68,414,13.9,10,7.3,319.7,54.4,13.18,91.6
Alimento_88,3.22,421,19,7.8,5.4,46.7,0.6,10.65,96.6
Alimento_89,4.45,399,17.7,5.4,44,977.5,32.5,3.27,26.7
Alimento_90,2.41,96,27.1,13.2,30.2,552.8,36.6,22.17,16.1
Alimento_91,0.69,404,1.8,5.9,41.6,1296.5,39.6,11.24,145.6
Alimento_92,3.59,360,8.8,12.2,26.7,709.8,69.5,4.87,99.3
Alimento_93,3.83,473,28.5,6.6,15.5,1452.3,38.9,9.19,87.4
Alimento_94,2.85,357,26.8,5.7,49.3,278.3,44.9,10.35,145.9
Alimento_95,3.88,193,13.9,6.9,48.2,1302.9,23.8,20.69,153.1
Alimento_96,2.52,318,18.8,4.5,42,1164.9,37.3,18.34,31.8
Alimento_97,2.66,419,8.7,11.2,17.1,1156.4,22.7,19.23,122
Alimento_98,2.19,173,6,7.5,35.8,1267.2,7.3,0.28,27.1
Alimento_99,0.22,155,14.2,3.5,22.3,1141.5,60.3,10.4,150.3
Alimento_100,0.63,207,10.9,13.5,6.4,939.3,66.8,12.03,131.4
Alimento_101,0.25,196,17.7,5.8,55.1,196.9,61.9,0.48,191.3
Alimento_102,3.22,194,2.8,8.2,9.1,48.8,46.3,6.5,13.8
Alimento_103,1.64,169,29.2,13.6,57.1,1381.3,38,19.01,11.4
Alimento_104,2.59,368,29.6,9.4,27.3,925,86.3,3.43,56.4
Alimento_105,4.55,324,21.1,1.8,11.9,1194.8,51.9,13.38,52.3
Alimento_106,1.32,141,16.3,14.1,33,722.3,47.9,5.38,49.4
Alimento_107,2.11,107,9.6,9.4,52.5,176,2.6,0.3,181.3
Alimento_108,3.8,488,24.5,5,44.2,187.8,34.1,6.03,49.9
Alimento_109,1.22,395,20.7,2.1,48.6,1028.3,38,24.4,54.4
Alimento_110,0.48,278,5.3,11.9,39.9,645.5,39.9,20.04,151.9
Alimento_111,1.52,166,27.4,9.3,41.8,300.8,58,23.99,89.9
Alimento_112,0.89,367,24.8,8,51.1,737.4,53.4,12.2,155.3
Alimento_113,4.66,328,28.5,13.4,15.7,96.3,60.8,2.74,13.1
Alimento_114,4.06,176,21.9,11.8,29.9,873,76.5,13.7,97.5
Alimento_115,3.2,442,18.6,2.3,14.1,403.5,81.3,11.36,6.7
Alimento_116,4.37,445,12.8,4.7,59.3,1196.3,71.8,21.11,12.5
Alimento_117,4.04,178,28,3.7,56.7,465.5,95.6,2.45,181.3
Alimento_118,1.01,107,26,11.2,3.3,682.8,1.8,12.21,27.8
Alimento_119,4.47,171,1.8,0.5,42.6,17.4,19.6,3.75,106.5
Alimento_120,2.74,50,1.3,8.5,55.6,108.7,0.8,8.12,82.2
Alimento_121,4.06,288,11.6,11.4,11.7,588.7,64.7,18.43,69.5
Alimento_122,4.49,339,24.4,13.2,34.5,719.9,89.8,11.9,180
Alimento_123,1.66,145,29.6,5.1,55,900,24.3,9.4,4.4
Alimento_124,0.64,175,4.9,12.3,3,437.5,92.7,9.86,132.8
Alimento_125,1.22,167,18,1.7,42.1,1042.5,6,11.49,192.7
Alimento_126,2.19,97,11.7,12.7,18.5,1290.2,93.4,19.63,112
Alimento_127,4.11,138,29.1,1.9,55.5,1169.8,35.2,22.3,187.4
Alimento_128,4.32,286,25.3,6,58.3,59.4,10.1,23.88,10.5
Alimento_129,1.13,422,25.2,12,56.7,720.8,48.6,19.67,83.8
Alimento_130,2.6,434,14.3,2.2,29,157.4,25.7,7.89,52
Alimento_131,2.15,321,12.7,3.4,51.9,363.1,28.5,17.2,146.2
Alimento_132,1.19,238,8.6,10.8,50.8,1480,30.7,10.94,196.3
Alimento_133,0.69,241,2.2,10.8,19.8,213.7,80.3,6.37,51.3
Alimento_134,1.75,496,26,9.6,49.9,748.3,53.9,21.02,130.8
Alimento_135,4.72,118,24.5,10.4,3.2,927.2,31.1,0.96,39.6
Alimento_136,1.68,327,30,8.1,36.2,1053.7,61,22.54,113.1
Alimento_137,2.64,398,29.9,3.8,14.6,839.5,71.6,11.54,92.8
Alimento_138,3.54,296,16.9,5.2,8.1,14.7,27.3,15.93,194.4
Alimento_139,1.88,125,23.2,2.7,5.5,489.7,41.4,16.48,121.7
Alimento_140,4.86,203,28.4,13.6,42.1,776.6,12.2,22.38,69.9
Alimento_141,4.82,193,25.6,8.8,21.1,131.8,18.1,15.92,22.8
Alimento_142,1.33,484,7.8,6,43.8,525.9,68.1,15.35,30.2
Alimento_143,2.54,135,13.8,6.9,4.9,49.8,18.1,1.67,45.1
Alimento_144,1.57,234,4.3,14.2,19.6,117.9,52.5,12.96,50.2
Alimento_145,1.5,334,28.6,2.3,32.8,595.4,70.9,3.75,170.1
Alimento_146,0.28,269,18.4,8.8,47.7,199.1,10.7,18.44,112.2
Alimento_147,3.09,118,7.2,7.6,19.8,851.3,56.7,12.81,104.7
Alimento_148,2.56,96,20.3,9.2,37.9,1034.2,25.7,17.01,23
Alimento_149,0.35,143,18.7,0.3,53.3,1200.9,96.3,1.04,172
Alimento_150,1.47,287,11.1,13.1,37.3,300.2,48.4,2.12,144.6
Alimento_151,4.55,495,3.8,14,14.7,251.2,80.6,17.91,13.5
Alimento_152,1.27,253,20.3,8.5,2.4,156.9,55,1.8,141.6
Alimento_153,0.81,449,15.8,10.4,52.3,954.6,4.3,1.78,108.7
Alimento_154,2.5,267,23.3,13.8,2.3,1059.7,63.3,0.3,16.3
Alimento_155,4.93,481,15.8,10.6,52.6,47.4,95.1,23.91,91.7
Alimento_156,1.29,390,25.6,2.3,32.2,1404.3,60.2,18.44,96.9
Alimento_157,3.39,88,16.8,8.6,56.4,78,81.9,8.83,33.2
Alimento_158,3.83,149,17,9.1,48.1,811.9,88.4,7.41,189.1
Alimento_159,1.26,338,26.4,6.4,59.9,1063.6,22.8,8.74,170
Alimento_160,3.67,303,12.4,11,21.7,1306.5,21.2,19.37,133.8
Alimento_161,1.9,271,4.5,14,46.3,1071.1,61.1,16.53,92.5
Alimento_162,3.2,406,1.3,13.9,24.7,1202.6,41.1,4.63,82.4
Alimento_163,3.2,72,22.8,6.8,29.3,509.2,84,4.35,130.2
Alimento_164,2.73,299,18.8,1.7,38,1222.2,90,2.46,109.1
Alimento_165,0.54,59,21.3,14.8,52.5,120.2,35.3,16.51,12.5
Alimento_166,4.19,295,6.8,12.6,59.1,1342.2,23.7,19.11,102.5
Alimento_167,1.67,374,4.5,1.9,46.3,821.4,78.1,6.63,161.3
Alimento_168,1.01,149,0.9,13.8,25.6,1225.9,27.5,0.52,91.8
Alimento_169,0.3,339,10.8,13,25.9,678.5,82.3,2.05,10.4
Alimento_170,3,229,17.9,7.8,44.5,965.4,42.4,24.2,157.3
Alimento_171,3.42,272,12.1,8.9,15.1,789.6,66.8,7.39,40.3
Alimento_172,0.18,443,13.4,6,7.5,1097.4,9.6,19.23,51.7
Alimento_173,2.61,299,27.2,0.8,21.9,122.4,62.4,15.62,32.9
Alimento_174,1.21,196,10.8,5,17.9,90.5,45.2,9.55,66
Alimento_175,3.26,491,15.7,12,18.5,370.7,58.7,5.14,151.4
Alimento_176,0.95,145,23.6,0.1,14.8,239.3,16.8,3.03,103.9
Alimento_177,3.49,306,12.2,5,3.5,1307.7,73.7,15.38,41
Alimento_178,2,374,18.9,6,2.1,328.8,86.3,19.37,175.6
Alimento_179,4.69,53,25.9,8.1,59.3,1463.8,21.7,16.1,175.9
Alimento_180,0.77,65,28.5,13.8,26.2,505.3,9.6,13.26,174.1
Alimento_181,1.77,329,4.8,5.2,23.7,273.2,2.4,1.05,47.8
Alimento_182,0.66,385,27.8,5.2,41.1,1184.5,64.2,24.21,90.2
Alimento_183,4.63,296,15,11.1,13.9,988.1,60.7,19.97,197
Alimento_184,4.4,307,8.1,6.8,57,747.3,54.7,7.32,154.4
Alimento_185,1.36,433,14,3.4,47.4,833,23.2,24.5,5.4
Alimento_186,3.33,209,29.4,6.8,6.3,1078.8,39.1,15.05,13
Alimento_187,4.1,389,15,2.1,25.6,342.7,59.4,14.56,92.8
Alimento_188,2.82,201,10.2,2.6,52.9,1494.5,49.7,18.7,181.8
Alimento_189,2.7,445,19.2,7.5,56.7,1462.2,98.8,20.29,107.7
Alimento_190,1.29,227,7.6,6.3,28.6,975.5,13.6,16.41,99.6
Alimento_191,0.56,212,2.7,13.7,37.2,299.3,69.5,3.2,21.1
Alimento_192,4.5,429,4.3,5.4,10.9,1020.3,40.4,8.46,131.4
Alimento_193,4.51,82,4.3,8.7,59.5,108.3,42.8,23.2,164.4
Alimento_194,3.2,466,5,9.5,14.7,46,71.8,5.62,76.1
Alimento_195,1.76,494,4.6,0.2,56.6,386.5,69.2,9.3,155.1
Alimento_196,1.81,228,19.4,10,39.3,693.9,99.1,10.8,192.9
Alimento_197,3.66,476,5.9,2.7,36.9,1302.4,12.8,10.99,40.8
Alimento_198,4.5,150,10.7,14.4,31.2,1090.8,10.4,15.32,104.7
Alimento_199,4.45,317,27,2.2,14.6,1114.1,72.4,23.58,57.4
Alimento_200,3.92,372,14.5,6.2,11.4,638.2,57.8,6.02,158.6
Alimento_201,3.25,114,20.2,1.3,14,518.9,27.4,3.04,115.5
Alimento_202,0.51,466,5.6,15,12,556.6,7.9,4.94,126.9
Alimento_203,0.89,217,6.2,7.5,47,1481.5,8.6,22.17,159.6
Alimento_204,4.5,379,1.7,8.9,21.7,60.2,89.4,16.15,79.2
Alimento_205,3.07,92,5.5,1,4.4,1300.5,19.2,7.15,183
Alimento_206,0.15,93,8.7,11.2,58.2,868,32.3,20.4,106.6
Alimento_207,0.6,334,5.7,3.1,53.1,657.9,22.7,21.53,31.6
Alimento_208,3.35,446,3.1,13.5,55.7,1087.9,35.5,21.16,139.2
Alimento_209,0.12,61,4.1,3.1,59.7,730,6.9,22.97,158.7
Alimento_210,0.89,144,14.1,2.9,11.3,1310.1,51.9,6.31,63.4
Alimento_211,2.79,351,6.6,0.5,24.4,1351.1,6.8,18.88,171.4
Alimento_212,3.49,435,11.2,7.1,45.7,632.6,80,11.51,181.2
Alimento_213,3.29,302,15.4,8.5,42.1,415.2,23.4,21.05,55.4
Alimento_214,1.2,291,20.9,1,10.1,888.5,54,18.21,196.7
Alimento_215,3.59,84,1.7,11.6,49.1,1368.5,88,19.41,28.1
Alimento_216,1.26,264,24.1,6.8,14.2,316,65.1,16.4,40.4
Alimento_217,1.69,386,19,7.9,14.2,934.4,53.3,4.44,36.8
Alimento_218,3.76,139,2.9,6.6,32.7,947.3,32.4,13.63,178.8
Alimento_219,3.28,313,26.3,6,36,1099.7,33.3,24.62,130.9
Alimento_220,4.26,142,27.7,8.4,35.2,197.4,66.9,23.43,30.4
Alimento_221,3.32,459,2.3,2.3,6.4,1073.7,99.4,1.08,88.1
Alimento_222,2.88,139,8.7,2.7,52.8,1363.5,66.2,4.12,123.1
Alimento_223,0.56,467,24.3,12.9,16.7,269.5,55.8,3.29,16.7
Alimento_224,1.9,164,22.6,14.2,8.6,356.3,73.1,18.15,176.5
Alimento_225,1.4,154,5.9,5.6,53.4,1457.1,46.5,20.44,160.7
Alimento_226,1.3,440,6.7,4.1,57.4,271.5,6,5.34,101
Alimento_227,4.87,245,11.4,9.7,51.9,1281.6,56.2,12.65,193.4
Alimento_228,2.03,363,14.8,6.1,48.8,738.4,95.8,21.02,83.6
Alimento_229,4.47,163,18.7,0.4,39.7,370.8,17.5,18.32,196.8
Alimento_230,3.19,124,11.4,2.3,33.5,1306.1,69,13.56,133.6
Alimento_231,3.99,462,14.1,10.7,6.1,668,20.1,14.76,126.9
Alimento_232,2.56,425,22.6,9.9,25.1,772.2,53.6,12.71,33.2
Alimento_233,2.93,469,1.6,0.4,23,538.9,9.7,7.44,176.4
Alimento_234,2.51,266,7.9,3.3,16.3,889.4,45,14.13,85.5
Alimento_235,1.06,326,21.5,3.5,43.7,245.3,75.6,17.22,32.4
Alimento_236,3.64,298,26.9,10.1,30.3,586.6,34.8,21.83,2.5
Alimento_237,1.48,213,15.6,0.3,5.8,1454.1,66.5,15.91,112
Alimento_238,0.22,443,16.2,1.6,14,387.2,79.5,19.03,105.5
Alimento_239,3.26,406,3.7,12,41.3,985.1,92.7,4,143.9
Alimento_240,0.97,457,13.7,2.7,5.5,487.8,23.5,11.54,178.1
Alimento_241,4.71,241,16.2,9.8,51.2,1160.2,39.9,0.23,15.9
Alimento_242,4.77,276,7.7,3.6,30.2,196.3,15.2,6.17,146.3
Alimento_243,4.58,226,8.4,1.5,29.4,1454.7,99.2,18.16,37.5
Alimento_244,1.91,148,11.6,3.6,36,680.7,92.7,24.8,171.6
Alimento_245,0.18,85,1.1,10.8,49.7,354.1,54,2.48,163.8
Alimento_246,4.65,145,10,12.8,21.5,110.2,84.2,10.04,108.2
Alimento_247,2.2,201,6.7,12.5,41,254.6,52.1,20,142
Alimento_248,4.84,200,10.2,6,34.4,779.7,62.4,5.1,62.9
Alimento_249,4.82,239,4,10,16.8,505.5,8.9,13.88,94.2
Alimento_250,4.28,273,26.8,3.1,52.8,1243.3,75.5,18.33,164.3
